"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CHM00054511","BEIJING, CH","2007-11-16","34","45","23"
"CHM00054511","BEIJING, CH","2007-11-17","38","52","28"
"CHM00054511","BEIJING, CH","2007-11-18","37","44","28"
"CHM00054511","BEIJING, CH","2007-11-19","38","49","32"
"CHM00054511","BEIJING, CH","2007-11-20","42","55","34"
"CHM00054511","BEIJING, CH","2007-11-21","41","50","32"
"CHM00054511","BEIJING, CH","2007-11-22","42","44","37"
"CHM00054511","BEIJING, CH","2007-11-23","42","55","36"
"CHM00054511","BEIJING, CH","2007-11-24","37","47","32"
"CHM00054511","BEIJING, CH","2007-11-25","41","55","32"
"CHM00054511","BEIJING, CH","2007-11-26","39","46","32"
"CHM00054511","BEIJING, CH","2007-11-27","39","51","27"
"CHM00054511","BEIJING, CH","2007-11-28","37","47","29"
"CHM00054511","BEIJING, CH","2007-11-29","40","45","34"
"CHM00054511","BEIJING, CH","2007-11-30","34","44","25"
"CHM00054511","BEIJING, CH","2007-12-01","35","44","26"
"CHM00054511","BEIJING, CH","2007-12-02","38","47","29"
"CHM00054511","BEIJING, CH","2007-12-03","36","42","31"
"CHM00054511","BEIJING, CH","2007-12-04","33","43","24"
"CHM00054511","BEIJING, CH","2007-12-05","32","41","25"
"CHM00054511","BEIJING, CH","2007-12-06","38","44","31"
"CHM00054511","BEIJING, CH","2007-12-07","35","44","29"
"CHM00054511","BEIJING, CH","2007-12-08","33","44","24"
"CHM00054511","BEIJING, CH","2007-12-09","32","37","28"
"CHM00054511","BEIJING, CH","2007-12-10","33","35","31"
"CHM00054511","BEIJING, CH","2007-12-11","35","40","32"
"CHM00054511","BEIJING, CH","2007-12-12","29","37","24"
"CHM00054511","BEIJING, CH","2007-12-13","32","42","24"
"CHM00054511","BEIJING, CH","2007-12-14","33","46","22"
"CHM00054511","BEIJING, CH","2007-12-15","33","43","23"
"CHM00054511","BEIJING, CH","2007-12-16","32","45","22"
"CHM00054511","BEIJING, CH","2007-12-17","32","38","26"
"CHM00054511","BEIJING, CH","2007-12-18","32","42","26"
"CHM00054511","BEIJING, CH","2007-12-19","33","45","25"
"CHM00054511","BEIJING, CH","2007-12-20","33","47","24"
"CHM00054511","BEIJING, CH","2007-12-21","32","39","24"
"CHM00054511","BEIJING, CH","2007-12-22","33","38","29"
"CHM00054511","BEIJING, CH","2007-12-23","39","48","28"
"CHM00054511","BEIJING, CH","2007-12-24","32","40","27"
"CHM00054511","BEIJING, CH","2007-12-25","32","41","27"
"CHM00054511","BEIJING, CH","2007-12-26","30","38","25"
"CHM00054511","BEIJING, CH","2007-12-27","31","33","27"
"CHM00054511","BEIJING, CH","2007-12-28","33","35","32"
"CHM00054511","BEIJING, CH","2007-12-29","28","33","26"
"CHM00054511","BEIJING, CH","2007-12-30","30","37","23"
"CHM00054511","BEIJING, CH","2007-12-31","29","35","26"
"CHM00054511","BEIJING, CH","2008-01-01","30","39","24"
"CHM00054511","BEIJING, CH","2008-01-02","30","43","19"
"CHM00054511","BEIJING, CH","2008-01-03","36","45","27"
"CHM00054511","BEIJING, CH","2008-01-04","31","42","22"
"CHM00054511","BEIJING, CH","2008-01-05","28","40","20"
"CHM00054511","BEIJING, CH","2008-01-06","35","47","24"
"CHM00054511","BEIJING, CH","2008-01-07","32","43","23"
"CHM00054511","BEIJING, CH","2008-01-08","35","47","26"
"CHM00054511","BEIJING, CH","2008-01-09","29","37","24"
"CHM00054511","BEIJING, CH","2008-01-10","24","30","18"
"CHM00054511","BEIJING, CH","2008-01-11","30","40","21"
"CHM00054511","BEIJING, CH","2008-01-12","26","35","22"
"CHM00054511","BEIJING, CH","2008-01-13","22","26","18"
"CHM00054511","BEIJING, CH","2008-01-14","20","23","16"
"CHM00054511","BEIJING, CH","2008-01-15","20","29","14"
"CHM00054511","BEIJING, CH","2008-01-16","24","31","18"
"CHM00054511","BEIJING, CH","2008-01-17","22","25","19"
"CHM00054511","BEIJING, CH","2008-01-18","24","28","20"
"CHM00054511","BEIJING, CH","2008-01-19","22","28","17"
"CHM00054511","BEIJING, CH","2008-01-20","27","32","22"
"CHM00054511","BEIJING, CH","2008-01-21","25","30","23"
"CHM00054511","BEIJING, CH","2008-01-22","24","31","20"
